id_region,region_name,id_city,city_name
10,Київська область,177,Вишгород
10,Київська область,178,Вишневе
10,Київська область,179,Ірпінь
10,Київська область,180,Кагарлик
10,Київська область,181,Миронівка
10,Київська область,182,Обухів
10,Київська область,183,Переяслав-Хмельницький
10,Київська область,184,Прип'ять
10,Київська область,185,Ржищів
10,Київська область,186,Сквира
10,Київська область,187,Славутич
10,Київська область,188,Тараща
10,Київська область,189,Тетіїв
10,Київська область,190,Узин
10,Київська область,191,Українка
10,Київська область,192,Фастів
10,Київська область,193,Чорнобиль
10,Київська область,194,Яготин
11,Кіровоградська область,195,Благовіщенське
11,Кіровоградська область,196,Бобринець
11,Кіровоградська область,197,Гайворон
11,Кіровоградська область,198,Долинська
11,Кіровоградська область,199,Знам'янка
11,Кіровоградська область,200,Кропивницький
11,Кіровоградська область,201,Мала Виска
11,Кіровоградська область,202,Новомиргород
11,Кіровоградська область,203,Новоукраїнка
11,Кіровоградська область,204,Олександрія
11,Кіровоградська область,205,Помічна
11,Кіровоградська область,206,Світловодськ
12,Луганська область,207,Алмазна
12,Луганська область,208,Алчевськ
12,Луганська область,209,Антрацит
12,Луганська область,210,Артемівськ
12,Луганська область,211,Брянка
12,Луганська область,212,Вахрушеве
12,Луганська область,213,Гірське
12,Луганська область,214,Довжанськ
12,Луганська область,215,Зимогір'я
12,Луганська область,216,Золоте
12,Луганська область,217,Зоринськ
12,Луганська область,218,Ірміно
12,Луганська область,219,Кіровськ
12,Луганська область,220,Красний Луч
12,Луганська область,221,Краснодон
12,Луганська область,222,Кремінна
12,Луганська область,223,Лисичанськ
12,Луганська область,224,Луганськ
12,Луганська область,225,Лутугине
12,Луганська область,226,Міусинськ
12,Луганська область,227,Молодогвардійськ
12,Луганська область,228,Новодружеськ
12,Луганська область,229,Олександрівськ
12,Луганська область,230,Первомайськ
12,Луганська область,231,Перевальськ
12,Луганська область,232,Петровське
12,Луганська область,233,Попасна
12,Луганська область,234,Привілля
12,Луганська область,235,Ровеньки
12,Луганська область,236,Рубіжне
12,Луганська область,237,Сватове
12,Луганська область,238,Сєверодонецьк
12,Луганська область,239,Старобільськ
12,Луганська область,240,Стаханов
12,Луганська область,241,Суходільськ
12,Луганська область,242,Червонопартизанськ
12,Луганська область,243,Щастя
13,Львівська область,244,Белз
13,Львівська область,245,Бібрка
13,Львівська область,246,Борислав
13,Львівська область,247,Броди
13,Львівська область,248,Буськ
13,Львівська область,249,Великі Мости
13,Львівська область,250,Винники
13,Львівська область,251,Глиняни
13,Львівська область,252,Городок
13,Львівська область,253,Добромиль
13,Львівська область,254,Дрогобич
13,Львівська область,255,Дубляни
13,Львівська область,256,Жидачів
13,Львівська область,257,Жовква
13,Львівська область,258,Золочів
13,Львівська область,259,Кам'янка-Бузька
13,Львівська область,260,Комарно
13,Львівська область,261,Львів
13,Львівська область,262,Миколаїв
13,Львівська область,263,Моршин
13,Львівська область,264,Мостиська
13,Львівська область,265,Новий Розділ
13,Львівська область,266,Новояворівськ
13,Львівська область,267,Перемишляни
13,Львівська область,268,Пустомити
13,Львівська область,269,Рава-Руська
13,Львівська область,270,Радехів
13,Львівська область,271,Рудки
13,Львівська область,272,Самбір
13,Львівська область,273,Сколе
13,Львівська область,274,Сокаль
13,Львівська область,275,Соснівка
13,Львівська область,276,Старий Самбір
13,Львівська область,277,Стебник
13,Львівська область,278,Стрий
13,Львівська область,279,Судова Вишня
13,Львівська область,280,Трускавець
13,Львівська область,281,Турка
13,Львівська область,282,Угнів
13,Львівська область,283,Хирів
13,Львівська область,284,Ходорів
13,Львівська область,285,Червоноград
13,Львівська область,286,Яворів
14,Миколаївська область,287,Баштанка
14,Миколаївська область,288,Вознесенськ
14,Миколаївська область,289,Миколаїв
14,Миколаївська область,290,Нова Одеса
14,Миколаївська область,291,Новий Буг
14,Миколаївська область,292,Очаків
14,Миколаївська область,293,Первомайськ
14,Миколаївська область,294,Снігурівка
14,Миколаївська область,295,Южноукраїнськ
15,Одеська область,296,Ананьїв
15,Одеська область,297,Арциз
15,Одеська область,298,Балта
15,Одеська область,299,Березівка
15,Одеська область,300,Білгород-Дністровський
15,Одеська область,301,Біляївка
15,Одеська область,302,Болград
15,Одеська область,303,Вилкове
15,Одеська область,304,Ізмаїл
15,Одеська область,305,Кілія
15,Одеська область,306,Кодима
15,Одеська область,307,Одеса
15,Одеська область,308,Подільськ
15,Одеська область,309,Рені
15,Одеська область,310,Роздільна
15,Одеська область,311,Татарбунари
15,Одеська область,312,Теплодар
15,Одеська область,313,Чорноморськ
15,Одеська область,314,Южне
16,Полтавська область,315,Гадяч
16,Полтавська область,316,Глобине
16,Полтавська область,317,Горішні Плавні
16,Полтавська область,318,Гребінка
16,Полтавська область,319,Заводське
16,Полтавська область,320,Зіньків
16,Полтавська область,321,Карлівка
16,Полтавська область,322,Кобеляки
16,Полтавська область,323,Кременчук
16,Полтавська область,324,Лохвиця
16,Полтавська область,325,Лубни
16,Полтавська область,326,Миргород
16,Полтавська область,327,Пирятин
16,Полтавська область,328,Полтава
16,Полтавська область,329,Хорол
17,Рівненська область,330,Березне
17,Рівненська область,331,Вараш
17,Рівненська область,332,Дубно
17,Рівненська область,333,Дубровиця
17,Рівненська область,334,Здолбунів
17,Рівненська область,335,Корець
17,Рівненська область,336,Костопіль
17,Рівненська область,337,Острог
17,Рівненська область,338,Радивилів
17,Рівненська область,339,Рівне
17,Рівненська область,340,Сарни
